Model,CV_Accuracy,CV_Accuracy_Std,CV_F1,CV_F1_Std,CV_Precision,CV_Recall,Time
SVM (Linear),0.7821666666666667,0.0025055493963954964,0.7892178816050978,0.00240484218014727,0.7645600093710663,0.8156666666666667,29.269676685333252
SVM (RBF),0.5805,0.004904646323187374,0.6782094360175435,0.006129397818490302,0.5500466530572432,0.8843333333333334,7.992724418640137
Logistic Regression,0.7749999999999999,0.007490735018081393,0.7768167943769215,0.010051376264102529,0.7703269791724713,0.7836666666666666,1.4445016384124756
Logistic Regression (L1),0.626,0.006311365409587147,0.5871936938947155,0.005526639323097871,0.6553871128618026,0.5319999999999999,19.83362650871277
Random Forest,0.7486666666666666,0.00825967446224259,0.7525028802105856,0.00876117683770691,0.7412707192977439,0.7643333333333333,1.1241395473480225
Gradient Boosting,0.7431666666666666,0.0013333333333333142,0.7476351632169301,0.002422756922279784,0.7349837461166455,0.7610000000000001,9.977047681808472
Complement NB,0.7861666666666667,0.007141428428542852,0.7983888260798448,0.0052566651531744234,0.7555699137679103,0.8466666666666667,0.5539951324462891
