Model,Threshold,Accuracy,Precision,Recall,F1,TP,TN,FP,FN
SVM Linear (High Precision),0.42620039390589626,0.53,0.3064516129032258,0.8260869565217391,0.4470588235294118,19,34,43,4
SVM RBF (High Precision),0.4437665975125442,0.61,0.35714285714285715,0.8695652173913043,0.5063291139240507,20,41,36,3
Logistic Regression (High Precision),0.24696363752856468,0.53,0.3125,0.8695652173913043,0.45977011494252873,20,33,44,3
Random Forest (High Precision),0.2315208689737741,0.44,0.23809523809523808,0.6521739130434783,0.3488372093023256,15,29,48,8
Gradient Boosting (High Precision),0.5030463807552603,0.47,0.265625,0.7391304347826086,0.39080459770114945,17,30,47,6
