Model,Accuracy,F1,Precision,Recall,TP,TN,FP,FN
SVM (Linear),0.55,0.36619718309859156,0.2708333333333333,0.5652173913043478,13,42,35,10
SVM (RBF),0.24,0.3770491803278688,0.23232323232323232,1.0,23,1,76,0
Logistic Regression,0.55,0.3835616438356164,0.28,0.6086956521739131,14,41,36,9
Logistic Regression (L1),0.43,0.42424242424242425,0.27631578947368424,0.9130434782608695,21,22,55,2
Random Forest,0.51,0.36363636363636365,0.25925925925925924,0.6086956521739131,14,37,40,9
Gradient Boosting,0.53,0.4050632911392405,0.2857142857142857,0.6956521739130435,16,37,40,7
Complement NB,0.61,0.38095238095238093,0.3,0.5217391304347826,12,49,28,11
