Model,CV_Precision,CV_Precision_Std,CV_Recall,CV_F1,CV_Accuracy
SVM Linear (High Precision),0.8766464343358568,0.11207775787868925,0.04666666666666666,0.0854351257826821,0.5171666666666667
SVM RBF (High Precision),0.0,0.0,0.0,0.0,0.5
Logistic Regression (High Precision),0.8248194921684326,0.0330947847072972,0.07666666666666666,0.13981834867833615,0.53
Random Forest (High Precision),0.975,0.049999999999999996,0.009000000000000001,0.01779583516184658,0.5043333333333334
Gradient Boosting (High Precision),0.7080741025581001,0.013152154559139637,0.754,0.7301696382495753,0.7213333333333333
